food,category,meal_type,ramadan_role,hydration_index,smart_swap,measure,grams,calories,protein_g,fat_g,sat_fat_g,carbs_g,fiber_g,sugars_g,sodium_mg,protein_pct,has_incomplete_name,is_extreme_portion
Cows' milk,Dairy products,Iftar Starter / Dessert,Quick Energy / Sugar Spike,Dehydrating,Drink 2 extra glasses of water with this,1 qt.,100,67.62,3.28,4.1,3.69,4.92,0.0,4.92,45.0,19.4,False,False
Milk skim,Dairy products,Iftar Starter / Dessert,Quick Energy / Sugar Spike,Dehydrating,Drink 2 extra glasses of water with this,1 qt.,100,36.59,3.66,0.0,0.0,5.28,0.0,5.0,45.0,40.0,False,False
Buttermilk,Dairy products,Snack / Appetizer,Balanced,Neutral,Excellent Choice (No Swap Needed),1 cup,100,51.63,3.66,2.03,1.63,5.28,0.0,5.0,45.0,28.3,False,False
"Evaporated, undiluted",Dairy products,Flexible,Heavy Meal / Craving,Neutral,Reduce portion by half and add a large green salad,1 cup,100,136.9,6.35,7.94,7.14,9.52,0.0,5.0,45.0,18.6,False,False
Fortified milk,Dairy products,Iftar Starter / Dessert,Quick Energy / Sugar Spike,Dehydrating,Drink 2 extra glasses of water with this,6 cups,100,96.76,6.27,2.96,1.62,8.39,0.1,5.0,45.0,25.9,False,False
Powdered milk,Dairy products,Main Course,Heavy Meal / Craving,High,Reduce portion by half and add a large green salad,1 cup,100,500.0,26.21,27.18,23.3,37.86,0.0,5.05,45.05,21.0,False,False
"skim, instant",Dairy products,Flexible,Lean Protein / Muscle Recovery,High,Excellent Choice (No Swap Needed),1 1/3 cups,100,341.18,35.29,0.0,0.0,49.41,0.0,4.94,44.94,41.4,False,False
"skim, non-instant",Dairy products,Flexible,Lean Protein / Muscle Recovery,High,Excellent Choice (No Swap Needed),2/3 cup,100,341.18,35.29,0.0,0.0,49.41,1.18,4.94,44.94,41.4,False,False
Goats' milk,Dairy products,Flexible,Balanced,Neutral,Excellent Choice (No Swap Needed),1 cup,100,67.62,3.28,4.1,3.28,4.51,0.0,4.51,45.0,19.4,False,False
(1/2 cup ice cream),Dairy products,Iftar Starter / Dessert,Quick Energy / Sugar Spike,Neutral,Excellent Choice (No Swap Needed),2 cups,100,127.78,4.44,4.44,4.07,12.96,0.0,5.0,45.0,13.9,True,False
Cocoa,Dairy products,Flexible,Balanced,Neutral,Excellent Choice (No Swap Needed),1 cup,100,93.25,3.17,4.37,3.97,10.32,0.0,5.0,45.0,13.6,False,False
skim. milk,Dairy products,Snack / Appetizer,Balanced,Neutral,Excellent Choice (No Swap Needed),1 cup,100,51.2,7.2,1.6,1.2,5.2,0.4,5.0,45.0,56.2,False,False
(cornstarch),Dairy products,Flexible,Balanced,Neutral,Excellent Choice (No Swap Needed),1 cup,100,110.89,3.63,4.03,3.63,16.13,0.0,5.0,45.0,13.1,True,False
Custard,Dairy products,Flexible,Balanced,Neutral,Excellent Choice (No Swap Needed),1 cup,100,114.92,5.24,5.65,4.44,11.29,0.0,5.0,45.0,18.2,False,False
